age,time_on_site_minutes,pages_viewed,past_purchases,cart_value,will_purchase
56,5.279535078790179,2,4,52.51671595643593,0
46,1.870908314470248,7,0,71.06820575443487,1
32,2.5461839842436302,5,1,19.484723094376694,1
60,9.759157113523962,9,2,79.8543647153363,1
25,0.04535712687307108,7,1,20.694453283553706,0
38,4.438669843703153,1,1,14.792907648588901,0
56,4.565404196730055,2,3,12.580119985883487,0
36,2.5263701151527624,1,2,11.15118703239217,1
40,1.3526687916789617,4,3,66.80365589323839,1
28,1.3372672106601273,1,1,109.24421906160578,0
28,10.758326835153566,4,3,13.110364661449827,0
41,2.9171999908464596,5,1,4.454693436983694,0
53,2.0090292791466373,6,1,18.826901211265522,0
57,2.9780843701399213,9,5,53.62489859131059,0
41,5.5340853015922065,5,2,22.984457718303197,1
20,0.787695384592755,5,3,39.83397278023101,1
39,2.9840406984712486,3,2,68.18849084000117,0
19,4.4322565818175255,1,2,26.25286503132521,1
41,14.838966616846106,5,4,404.732302640555,1
61,1.4552907053203605,6,4,17.68747993507559,1
47,2.2255854049494945,3,0,191.4032874173334,0
55,2.3850090165982625,5,3,11.346891100261988,1
19,4.6511643372121325,6,1,5.879063359266825,1
38,2.205969638832168,3,1,69.48111966289956,0
50,3.8126141118244266,5,2,60.58507245057664,1
29,7.611494443573562,6,0,83.3452341370856,0
39,6.1104393816318305,2,0,21.04851638769975,0
61,2.956281203238169,3,2,133.54325136437896,1
42,9.983455998148454,3,2,6.3622129565489915,0
44,4.083813770151651,3,0,1.5372459885982486,0
59,3.8816205685609684,1,1,17.874040936428532,0
45,0.17392919170521337,4,2,79.80744602623014,0
33,21.597317951466927,4,1,55.887050167588825,1
32,0.6560750078242497,4,1,28.653562266857165,0
64,1.3141728059780164,4,3,14.802759077752988,0
61,0.26540517955170584,6,2,3.0551035859238738,0
20,5.108297443897948,3,1,20.58715707276412,1
54,1.2725337292257766,3,1,30.811137352355395,0
24,0.9923183371506022,4,2,58.08141256571018,0
38,0.46362333884316537,6,1,51.918957283559855,1
26,0.5452195503016297,4,0,147.19961173386508,0
56,4.393417902455379,11,0,5.290026125268866,0
35,5.827092749794458,3,2,20.499274699684218,0
21,2.5323339238152514,6,0,32.84829273117694,0
42,3.2686428348750125,7,1,55.538665834508315,0
31,5.791297733529626,2,1,34.20458442267039,1
26,0.08766295883366856,6,2,121.95360356552496,1
43,1.9513850944551379,3,1,46.91050395608549,0
19,18.077726405106134,2,0,2.0236761835811854,0
37,4.33883908486633,6,2,6.032505348982507,1
45,1.4666538477032494,9,1,70.01876397487192,0
64,3.687899749570713,3,3,62.90168860096966,1
24,2.097719920955206,4,0,8.332076778363163,0
61,3.7990530026313225,7,1,3.035753914488423,1
25,0.6718959698564275,6,2,43.22262463328482,0
64,0.7119361867023427,2,3,50.494208709471,0
52,0.7747521095750982,7,4,7.2686116905072335,1
31,14.052058751363921,3,1,32.0865301874767,1
34,6.600640546175586,3,0,18.252029725174882,1
53,0.8859650196338142,1,3,133.9044130625638,0
57,1.0434246868592965,4,1,12.371799603834164,0
21,6.562050889055683,6,0,66.07417995902915,1
19,0.8489846606615701,5,1,36.50445160241259,0
23,1.3365306838166913,3,0,0.579394653644965,0
59,16.531277187386547,6,0,36.38678460133284,1
21,1.4739129392840133,3,1,5.238709374617099,1
46,5.418111269216672,3,3,53.80276053918701,0
35,19.229137274111892,3,5,41.68067454107733,1
43,2.344395446008198,2,1,0.5240985877980735,0
61,0.08835605528874257,7,2,11.451343053473769,0
51,1.399543751925928,3,0,74.85572162491529,0
27,8.885650747552809,7,2,16.132493363101798,0
53,9.99793589397322,3,2,34.58575044668011,0
31,7.316295285027378,5,1,18.698221355534073,1
48,0.6001705694702274,1,1,127.24994162219798,0
32,7.936190110636367,5,4,38.455753672166104,1
25,12.546681000012077,3,3,59.56492565406389,1
31,4.589078752448708,2,3,4.358356984933698,1
40,14.140537295238246,3,0,2.0586021396643583,0
57,8.76766404929391,9,2,15.003132833514096,1
38,5.497636290488627,3,2,18.490490944865567,0
33,4.304105538476792,3,1,58.18643542663371,0
62,2.1429548104529,1,2,42.09750126223991,0
35,0.8675273362881017,3,2,23.466561322757265,0
64,4.643764347339551,6,2,53.08280556159386,1
41,1.9144460143622557,2,3,8.930367988745072,0
43,10.065972436869899,5,4,3.27973766116794,1
42,25.055880220347234,5,3,96.38070958667896,1
62,6.980264356693631,3,1,41.49947421247767,0
58,0.4742007754950054,5,0,52.362026361291484,1
46,1.7032037327091054,5,3,18.353745454331836,1
32,0.577669512949689,3,0,23.257169586916138,0
62,5.256425224392764,3,0,4.297911886028934,1
18,7.244911422208653,7,2,97.24140246744254,1
42,12.996528173490496,3,0,44.87828842880432,1
24,2.88280071166823,3,2,4.36662578272606,0
26,11.58218543142947,4,1,81.61731581313086,0
41,10.514212464814205,2,3,29.359725269686347,0
18,1.9077350751864763,3,2,72.43005675919972,0
61,10.158998298501903,2,6,0.6350084452355012,1
25,2.3553990556627373,5,1,1.458038467421692,0
41,1.7610622538745213,4,0,9.363667361766865,0
28,5.2359089062935835,3,5,11.844160235890374,1
34,1.9903220141843236,7,0,72.18675304090752,1
25,4.974083086146443,4,2,61.32697027688144,0
52,4.7058868243783705,3,0,47.86711148144286,0
52,4.1441349952653574,5,4,108.07984578254914,1
50,2.3935648624143284,1,1,14.194382928117797,0
22,3.97589644814002,5,1,117.38168781560523,1
59,4.537713971811074,7,2,120.1042901367062,1
56,3.9448432286920267,2,0,28.481012319187233,0
58,2.9387084043303933,4,1,4.9571166798691415,0
45,0.07387840886311178,2,3,64.83363619269798,1
24,4.4222855525218225,3,2,20.543635592423065,0
26,0.9222854880508601,7,2,79.22007707767897,1
25,5.144162199905477,1,1,8.937813035331514,0
29,7.121940568454931,3,1,38.773762187398916,0
51,3.470190978287546,2,0,35.47132160450319,0
50,3.908402193077336,2,0,5.2855005345169035,0
40,15.12874754989924,2,0,22.575412461855066,1
41,9.392059107385421,1,2,4.428191622902826,0
54,12.280809784594794,1,0,31.25016235375527,0
52,8.403764398058456,3,7,92.54508757079365,1
61,0.5765960397586376,7,1,15.749564093171214,1
57,0.8066679025089347,5,3,72.37913243301603,1
39,3.739324260029964,2,1,10.131973676929407,0
44,1.4122765045786898,6,1,56.00225610750079,1
52,3.237958593362151,2,0,123.57232226618606,0
18,2.5073915964070874,4,2,19.57279101908405,1
52,3.9860342515402145,2,1,115.3354984749088,1
54,6.869373351519473,3,3,35.202411739535606,0
64,6.2849503246988,2,2,19.04875749758889,1
31,3.6827179770137652,2,1,113.41316178686343,0
20,8.640921964501866,7,2,1.628084558785658,1
18,2.8181625217110358,4,1,1.4209434511680554,0
22,11.35128122912273,2,4,45.79324165488741,1
43,0.3697413786725595,3,2,79.66610299302454,0
31,15.467831481524954,5,1,69.62493993249157,1
56,5.316608191938466,3,0,4.140257416633243,0
44,2.3907799193492414,2,2,150.0384403144796,1
26,1.097962609524186,4,0,60.71185472527393,0
32,3.2617849353852484,1,2,148.90645977049485,1
32,1.0818224258781948,2,1,19.956592204555403,0
43,0.909597834472463,5,0,59.19856343263059,0
59,4.803195692397008,2,2,98.28377143630046,1
30,3.7020821176917447,3,2,23.93924142085529,1
49,5.544768404234724,3,0,167.42064422872335,1
56,13.268227527055503,10,0,15.393748597709381,1
49,3.7992157455217974,3,1,18.96163233015012,0
21,4.348611040782828,4,1,126.4922154945386,1
47,0.4695007371889947,8,3,174.7639974939614,1
54,6.322787510162058,5,2,16.78732738121942,0
40,2.5533382379257246,3,2,7.331702343863091,1
56,18.801928549514475,4,1,71.15941438688913,1
62,8.662945844824675,5,2,132.72447619761112,0
32,3.6957570706209846,5,0,45.90382172736309,1
60,0.6575110022678465,3,1,50.32704299888202,1
46,9.809743168286303,9,0,71.97280350532836,1
53,8.04171994053831,3,4,8.307736482654326,1
30,1.0202912587356423,4,1,181.471875853891,1
